comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
Ugx4ugL2bTeWg9yml7h4AaABAg,"I got my wife a Motorola Edge 40 Pro. She is very happy with the pictures. Especially at night, she got better pictures than iPhones and Samsung phones. She adores the Motorola shortcuts and gestures. Also, she's a businesswoman and the 125W fast charging is absolute awesome. When you plug the charger in it looks like it's counting random numbers, not charging :)) .",@catalinvasile461,27,2023-11-12T21:22:02Z,positive,True,True,positive,True,positive,False,,True,positive,False,,False,
Ugwuy5-Pp4CX3DiYKSx4AaABAg,"hi gsmarena, would you please include a section in your reviews about haptic feedback? You sometimes mention it, but I would love to see it in every reviews! 😊 For me it is usually the display quality, speakers quality, battery life and haptic feedback when I am deciding to buy a new phone. Thanks! 👍",@davido.702,53,2023-04-09T16:06:59Z,neutral,False,False,,True,neutral,False,,True,neutral,False,,False,
UgyEAyMjdzWdq3719tR4AaABAg,"I see in this days a lot of people speak about the camera. Much more than anything. look at the whole phone that it presents, not just at a camera that you can always replace with a much better performing one from a DSLR or mirrorless. a good camera on a smartphone really matters, but still, you can't judge a phone just from this point of view. the camera offered by the Edge 40 Pro is a good one. On the video side, it behaves really well, very good stabilization. Overall 165Hz, 125w charging, OLED display, IP68, Dolby Atmos, Dolby vision, I think it offers a good price-quality ratio.",@adriancuibus8781,49,2023-04-09T21:02:15Z,positive,True,True,positive,True,positive,False,,True,positive,True,positive,True,positive
UgyhqdphOCvRRvXslup4AaABAg,"One thing I've noticed throughout youtube reviews of Moto phones is that the camera is the weakest link.
Gcam port would help a lot!",@sumanthachark,12,2023-04-09T14:37:10Z,negative,True,True,negative,False,,False,,False,,False,,False,
UgxbES4W5ik0jiYdAPd4AaABAg,"Protip for moto owners - the navigation buttons at the bottom can be changed by bypassing the settings by pulling the settings widget
""3 buttons"" to the desktop
(option under to select under ""shortcut to specific settings"")
- you will then enter a submenu that is not normally available in the normal settings 😃",@MelodiaBlasku,5,2023-10-29T08:46:18Z,positive,True,False,,False,,False,,False,,False,,True,positive
UgxLwDkLwOC75MjDfrJ4AaABAg,Wish you'd spend as much time on the Ready For desktop mode that you glossed over in a single word as was spent on the cameras. Sick of every review being little more than a camera review while ignoring features that are actually different and provide exceptional functionality.,@nickthaskater,9,2023-05-04T00:56:18Z,negative,True,True,neutral,False,,False,,True,positive,False,,False,
UgyefptTgJpRojV-MqB4AaABAg,"I do like the price point that Moto are hitting, but when they are competing with phones like OnePlus and pixel pro, I really think they need a stand out feature. I'd love to see them bring back expandable memory slot and headphone jack, wouldn't cost them much but would be something that makes them stand out. The lackluster camera is nothing really when you can run a gcam port. They also need to sort out their security and OS updates, they are way to slow and alot of the time they flat out skip months at a time",@davidbezzant9820,72,2023-04-09T15:15:00Z,mixed,True,True,negative,False,,False,,True,negative,False,,True,positive
UgzE2PGqs7MWe8FN7QF4AaABAg,"Honestly in terms of specs the Motorola delivers a lot, but it lacks of a unique selling point. Something special that makes it stand out in a crowd of flagships, which is why it is not as popular.",@GFourGadget,26,2023-04-09T14:37:45Z,mixed,True,False,,False,,False,,False,,False,,False,
UgyiW6J5B0RzEZJ6vcl4AaABAg,Same as last time with edge 30. Subpar camera performance is a very big downside from flagship perspective.,@DARSHANLDCE,17,2023-04-13T18:23:09Z,negative,True,True,negative,False,,False,,False,,False,,False,
Ugy0EPFI4-z_2ZDEPO94AaABAg,Everyone talking about camera quality ... but if you compare phones in the same 700e range now ... there is no competition. This phone is far the best. If you go 1000e + then you get better camera quality.,@Designology1999,2,2023-08-07T12:37:04Z,positive,True,True,positive,False,,False,,False,,False,,True,positive
UgwnscDHoEhPd7W9A_B4AaABAg,"Will , you my friend are looking jacked AF. Cheers homie , keep up the good work !",@fizzy346,1,2024-03-09T03:20:28Z,positive,False,False,,False,,False,,False,,False,,False,
UgxjS3Ehx4-eAfGq5Kp4AaABAg,2x zoom in 2023 is quite insulting.,@roms3,231,2023-04-09T10:04:14Z,negative,True,True,negative,False,,False,,False,,False,,False,
